Security Code,Security Name,Company name,Result Date
517522,RAJRATAN,Rajratan Global Wire Ltd,21 Apr 2025
533301,SHEKHAWATI,Shekhawati Industries Ltd,21 Apr 2025
531201,SHILCTECH,Shilchar Technologies Ltd,21 Apr 2025
532217,SIELFNS,Siel Financial Services Ltd,21 Apr 2025
501301,TATAINVEST,Tata Investment Corporation Ltd,21 Apr 2025
540611,AUBANK,AU Small Finance Bank Ltd,22 Apr 2025
534796,CDG,CDG Petchem Ltd,22 Apr 2025
531775,CISTRO,CISTRO Telelink Ltd,22 Apr 2025
543933,CYIENTDLM,Cyient DLM Ltd,22 Apr 2025
532848,DELTACORP,Delta Corp Ltd,22 Apr 2025
533162,HATHWAY,Hathway Cable & Datacom Ltd,22 Apr 2025
517354,HAVELLS,Havells India Ltd,22 Apr 2025
532281,HCLTECH,HCL Technologies Ltd,22 Apr 2025
509820,HUHTAMAKI,Huhtamaki India Ltd,22 Apr 2025
506520,JAYCH,Jayshree Chemicals Ltd,22 Apr 2025
538834,JMJFIN,JMJ Fintech Ltd,22 Apr 2025
532720,M&MFIN,Mahindra & Mahindra Financial Services Ltd,22 Apr 2025
534598,SAMPANN,Sampann Utpadan India Ltd,22 Apr 2025
500483,TATACOMM,Tata Communications Ltd,22 Apr 2025
534392,VSSL,Vardhman Special Steels Ltd,22 Apr 2025
542772,360ONE,360 ONE WAM LTD,23 Apr 2025
531406,ANSINDUS,ANS Industries Ltd,23 Apr 2025
544252,BAJAJHFL,Bajaj Housing Finance Ltd,23 Apr 2025
511196,CANFINHOME,Can Fin Homes Ltd,23 Apr 2025
523708,EIMCOELECO,Eimco Elecon (India) Ltd,23 Apr 2025
532015,GRAVITY,Gravity India Ltd-$,23 Apr 2025
540005,LTIM,LTIMindtree Ltd,23 Apr 2025
500266,MAHSCOOTER,Maharashtra Scooters Ltd,23 Apr 2025
500355,RALLIS,Rallis India Ltd,23 Apr 2025
500405,SPLPETRO,Supreme Petrochem Ltd,23 Apr 2025
539268,SYNGENE,Syngene International Ltd,23 Apr 2025
543596,TMB,Tamilnad Mercantile Bank Ltd,23 Apr 2025
531533,ACCEDERE,Accedere Ltd,24 Apr 2025
532268,ACCELYA,Accelya Solutions India Ltd,24 Apr 2025
522134,ARTSON,Artson Ltd,24 Apr 2025
532215,AXISBANK,AXIS Bank Ltd,24 Apr 2025
532175,CYIENT,Cyient Ltd,24 Apr 2025
505700,ELECON,Elecon Engineering Company Ltd,24 Apr 2025
500696,HINDUNILVR,Hindustan Unilever Ltd,24 Apr 2025
540222,LAURUSLABS,Laurus Labs Ltd,24 Apr 2025
540115,LTTS,L&T Technology Services Ltd,24 Apr 2025
526299,MPHASIS,Mphasis Ltd,24 Apr 2025
500790,NESTLEIND,Nestle India Ltd,24 Apr 2025
533179,PERSISTENT,Persistent Systems Ltd,24 Apr 2025
500337,PRIMESECU,Prime Securities Ltd,24 Apr 2025
540719,SBILIFE,SBI Life Insurance Company Ltd,24 Apr 2025
522034,SHANTIGEAR,Shanthi Gears Ltd,24 Apr 2025
530445,SUMERUIND,Sumeru Industries Ltd,24 Apr 2025
509930,SUPREMEIND,Supreme Industries Ltd,24 Apr 2025
532790,TANLA,Tanla Platforms Ltd,24 Apr 2025
532755,TECHM,Tech Mahindra Ltd,24 Apr 2025
500027,ATUL,Atul Ltd,25 Apr 2025
511243,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,25 Apr 2025
533519,LTF,L&T Finance Ltd,25 Apr 2025
532500,MARUTI,Maruti Suzuki India Ltd,25 Apr 2025
533088,MHRIL,Mahindra Holidays & Resorts India Ltd,25 Apr 2025
524000,POONAWALLA,Poonawalla Fincorp Ltd,25 Apr 2025
511218,SHRIRAMFIN,Shriram Finance Ltd,25 Apr 2025
544028,TATATECH,Tata Technologies Ltd,25 Apr 2025
539437,IDFCFIRSTB,IDFC First Bank Ltd,26 Apr 2025
530005,INDIACEM,India Cements Ltd,26 Apr 2025
543959,SBFC,SBFC Finance Ltd,26 Apr 2025
511742,UGROCAP,Ugro Capital Ltd,26 Apr 2025
543374,ABSLAMC,Aditya Birla Sun Life AMC Ltd,28 Apr 2025
509438,BENARAS,Benares Hotels Ltd,28 Apr 2025
500870,CASTROLIND,Castrol India Ltd,28 Apr 2025
532902,CCCL,Consolidated Construction Consortium Ltd,28 Apr 2025
542867,CSBBANK,CSB Bank Ltd,28 Apr 2025
532809,FSL,Firstsource Solutions Ltd,28 Apr 2025
544179,GODIGIT,Go Digit General Insurance Ltd,28 Apr 2025
543720,KFINTECH,KFin Technologies Ltd,28 Apr 2025
542651,KPITTECH,KPIT Technologies Ltd,28 Apr 2025
540767,NAM-INDIA,Nippon Life India Asset Management Ltd,28 Apr 2025
502180,SHREDIGCEM,Shree Digvijay Cement Company Ltd-$,28 Apr 2025
531359,SRAMSET,Shriram Asset Management Company Ltd,28 Apr 2025
532538,ULTRACEMCO,UltraTech Cement Ltd,28 Apr 2025
532978,BAJAJFINSV,Bajaj Finserv Ltd,29 Apr 2025
500034,BAJFINANCE,Bajaj Finance Ltd,29 Apr 2025
500878,CEATLTD,Ceat Ltd,29 Apr 2025
532756,CIEINDIA,CIE Automotive India Ltd,29 Apr 2025
543257,IRFC,Indian Railway Finance Corporation Ltd,29 Apr 2025
505790,SCHAEFFLER,Schaeffler India Ltd,29 Apr 2025
543412,STARHEALTH,Star Health and Allied Insurance Company Ltd,29 Apr 2025
500251,TRENT,Trent Ltd,29 Apr 2025
543238,UTIAMC,UTI Asset Management Company Ltd,29 Apr 2025
